TIPO_CLUSTERING,RAMA,CLUSTER_RAMA,NOMBRE_PERFIL,DESCRIPCION,N_PERSONAS
semantico,ADMINISTRATIVO,7,Analistas de planificacion y gestion de proyectos,"Analistas administrativos, de planificacion y de proyectos con formacion de posgrado (gestion de proyectos, finanzas), en unidades como Infraestructura Fisica (GIF) y Tecnologias de la Informacion (CTI). Trayectorias estables con crecimiento hacia roles de coordinacion.",141
semantico,ADMINISTRATIVO,8,Personal de servicios generales y mantenimiento,"Auxiliares de servicios, mantenimiento y choferes de la Direccion de Servicios Generales (DSG), con formacion de bachillerato y capacitaciones orientadas a seguridad ocupacional y manejo de materiales.",33
semantico,DOCENTE,0,Docentes de ciencias sociales y humanisticas,"Profesores no titulares ocasionales de la Facultad de Ciencias Sociales y Humanisticas (FCSH), con trayectorias largas que combinan docencia de pregrado con direccion de tesis desde inicios de los 2000.",171
semantico,DOCENTE,1,Tecnicos docentes de ingenieria mecanica en formacion,"Ingenieros mecanicos, industriales y mecatronicos recien graduados que ingresan como tecnicos docentes o de laboratorio en la Facultad de Ingenieria Mecanica (FIMCP), con materias de fluidos, termodinamica e instrumentacion.",116
semantico,DOCENTE,2,Tecnicos de laboratorio de ciencias exactas,"Tecnicos de laboratorio e investigacion de la Facultad de Ciencias Naturales y Matematicas (FCNM), con posgrados en fisica, estadistica o ciencias de la tierra, vinculados a proyectos de investigacion en curso.",220
semantico,DOCENTE,3,Tecnicos de laboratorio con investigacion ambiental aplicada,"Tecnicos de laboratorio con maestrias en cambio climatico, ciencias de la tierra o quimica, vinculados a centros de investigacion aplicada (CADS, FICT), con participacion activa en proyectos de agua y ambiente.",292
semantico,DOCENTE,4,Tecnicos docentes de admisiones,"Ingenieros recien graduados (civil, telematica, computacion) que ingresan brevemente como tecnicos docentes en la Direccion de Admisiones (ADM), perfil de trayectoria corta y puntual.",106
semantico,DOCENTE,5,Docentes-investigadores con posgrado internacional,"Profesores no titulares ocasionales y titulares con doctorados o maestrias obtenidos en el exterior (Ghent University, Tottori University), con trayectorias de alta estabilidad en Ciencias Naturales y Ciencias de la Vida.",145
semantico,DOCENTE,6,Tecnicos docentes de biologia recien graduados,"Biologos e ingenieros agricolas recien graduados que ingresan como tecnicos de laboratorio en la Facultad de Ciencias de la Vida (FCV). Trayectorias muy cortas, de primer empleo.",60
semantico,DOCENTE,7,Profesionales tecnicos jovenes con proyectos de innovacion,"Perfil tecnico-docente joven vinculado a proyectos de innovacion y emprendimiento, con formacion de posgrado reciente y participacion en iniciativas interdisciplinarias.",146
semantico,DOCENTE,8,Personal administrativo-docente de gestion interna estable,"Trayectorias estables de larga duracion que combinan funciones administrativas y de coordinacion dentro de facultades, con baja rotacion entre cargos.",286
semantico,DOCENTE,9,Trayectorias historicas muy fragmentadas,Personal con antiguedad institucional muy alta y trayectorias fragmentadas en muchos cargos y unidades distintas a lo largo de decadas.,70
semantico,DOCENTE,10,Docentes de ingenieria en transicion hacia la titularidad,"Profesores no titulares ocasionales de facultades de ingenieria en proceso de consolidacion academica, con publicaciones y proyectos en curso hacia la titularidad.",65
