FEATURE,SOURCE,TYPE,DESCRIPTION,RATIONALE
N_CONTRATOS_TOTAL,trayectoria_laboral,numerica,N contratos total.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
N_CARGOS_DISTINTOS,trayectoria_laboral,numerica,N cargos distintos.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
CARGO_ACTUAL,trayectoria_laboral,categorica,Cargo actual.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
CARGO_MAS_FRECUENTE,trayectoria_laboral,categorica,Cargo mas frecuente.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
MULTIPLES_CARGOS_MISMO_ANIO,trayectoria_laboral,booleana,Multiples cargos mismo anio.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
N_UNIDADES_DISTINTAS,trayectoria_laboral,numerica,N unidades distintas.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
UNIDAD_ACTUAL_NOMBRE,trayectoria_laboral,categorica,Unidad actual nombre.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
N_FACULTADES_DISTINTAS,trayectoria_laboral,numerica,N facultades distintas.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
PASO_POR_RECTORADO,trayectoria_laboral,booleana,Paso por rectorado.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
N_REGIMENES_DISTINTOS,trayectoria_laboral,numerica,N regimenes distintos.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
REGIMEN_INICIAL_DESC,trayectoria_laboral,categorica,Regimen inicial desc.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
REGIMEN_ACTUAL_DESC,trayectoria_laboral,categorica,Regimen actual desc.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
TIPOEMPLEADO_ACTUAL_DESC,trayectoria_laboral,categorica,Tipoempleado actual desc.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
ES_DOCENTE_ADMIN_MIXTO,trayectoria_laboral,booleana,Es docente admin mixto.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
ANIOS_EXPERIENCIA_DOCENTE,trayectoria_laboral,numerica,Anios experiencia docente.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
ANIOS_EXPERIENCIA_ADMINISTRATIVO,trayectoria_laboral,numerica,Anios experiencia administrativo.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
DEDICACION_DOCENTE_ACTUAL,trayectoria_laboral,categorica,Dedicacion docente actual.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
DEDICACION_DOCENTE_MAS_FRECUENTE,trayectoria_laboral,categorica,Dedicacion docente mas frecuente.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
N_DEDICACIONES_DOCENTE_DISTINTAS,trayectoria_laboral,numerica,N dedicaciones docente distintas.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
PROPORCION_CONTRATOS_FINALIZADOS,trayectoria_laboral,numerica,Proporcion contratos finalizados.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
VIGENTE_ACTUALMENTE,trayectoria_laboral,booleana,Vigente actualmente.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
ANTIGUEDAD_EFECTIVA_ANIOS,trayectoria_laboral,numerica,Antiguedad efectiva anios.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
ANTIGUEDAD_CALENDARIO_ANIOS,trayectoria_laboral,numerica,Antiguedad calendario anios.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
N_REINGRESOS,trayectoria_laboral,numerica,N reingresos.,"Describe la trayectoria laboral institucional (historial_laboral_features.csv), ya procesada previamente."
NIVEL_ACADEMICO_MAXIMO,formacion_academica,categorica_ordinal,"Nivel academico mas alto alcanzado, derivado de NUM_TIT_* (jerarquia: sin_registro < primaria < bachillerato < tercer_nivel < cuarto_nivel).",Describe el nivel y volumen de titulaciones academicas obtenidas.
PROPORCION_CAPACITACIONES_APROBADAS,capacitacion,numerica,Proporcion de capacitaciones aprobadas sobre el total tomado (NaN si NUM_CAPACITACIONES=0).,"Describe volumen, duracion y aprobacion de capacitaciones recibidas."
HORAS_PROMEDIO_POR_ACTIVIDAD_POLITECNICA,carga_politecnica,numerica,Horas promedio por actividad de carga politecnica (NaN si no hay actividades).,"Describe volumen, distribucion por termino e intensidad de la carga politecnica."
NUM_PUBLICACIONES_POR_ANIO,publicaciones,numerica,Tasa de publicaciones por anio de antiguedad efectiva (NaN si ANTIGUEDAD_EFECTIVA_ANIOS < 1).,"Describe volumen y calidad (indexacion, revision por pares, cuartil) de publicaciones."
NUM_PROYECTOS_INVESTIGACION_POR_ANIO,investigacion,numerica,Tasa de proyectos de investigacion por anio de antiguedad efectiva (NaN si ANTIGUEDAD_EFECTIVA_ANIOS < 1).,"Describe volumen, estado y rol de participacion en proyectos de investigacion."
